rank,music,main_artist,year,featuring1,featuring2,photo,id_music,id_position,danceability,energy,loudness,speechiness,acousticness,instrumentalness,tempo,uri,duration_ms
56,Do It To It,Cherish,2006,Sean Paul Of The YoungBloodZ,,https://charts-static.billboard.com/img/2006/03/cherish-c9i-53x53.jpg,6MBEjJlXQYXr8dfxDvZuoA,55,0.826,0.67,-5.559,0.169,0.00798,0.0,74.007,spotify:track:6MBEjJlXQYXr8dfxDvZuoA,226293.0
57,Black Horse & The Cherry Tree,KT Tunstall,2006,,,https://charts-static.billboard.com/img/2005/11/kt-tunstall-hm5-53x53.jpg,,56,,,,,,,,,
58,There It Go! (The Whistle Song),Juelz Santana,2006,,,https://charts-static.billboard.com/img/2005/08/juelz-santana-yuj-53x53.jpg,,57,,,,,,,,,
59,Shoulder Lean,Young Dro,2006,T.I.,,https://charts-static.billboard.com/img/2006/03/young-dro-3p0-53x53.jpg,2OqYarizUUGzSSNHPrDEii,58,0.7,0.518,-7.191,0.177,0.0471,0.0,75.973,spotify:track:2OqYarizUUGzSSNHPrDEii,258680.0
60,Unpredictable,Jamie Foxx,2006,Ludacris,,https://charts-static.billboard.com/img/2005/10/jamie-foxx-hji-53x53.jpg,3UNrtRxBBlWE70SjxnOo02,59,0.734,0.599,-8.462,0.197,0.206,0.0,145.185,spotify:track:3UNrtRxBBlWE70SjxnOo02,219867.0
61,My Love,Justin Timberlake,2006,T.I.,,https://charts-static.billboard.com/img/2006/09/justin-timberlake-wmm-53x53.jpg,4NeOWqHmlrGRuBvsLJC9rL,60,0.772,0.68,-5.881,0.224,0.277,1.17e-05,119.953,spotify:track:4NeOWqHmlrGRuBvsLJC9rL,276160.0
62,Shake That,Eminem,2006,Nate Dogg,,https://charts-static.billboard.com/img/2005/12/eminem-1xq-53x53.jpg,0fGh0trRN1xz3s41r7V5ce,61,0.963,0.643,-5.785,0.117,0.0507,4.94e-05,107.005,spotify:track:0fGh0trRN1xz3s41r7V5ce,274440.0
63,Pullin' Me Back,Chingy,2006,Tyrese,,https://charts-static.billboard.com/img/2006/06/chingy-pez-53x53.jpg,5hF2LnbkpnXCkksMSeWcxZ,62,0.786,0.511,-6.66,0.286,0.0825,0.0,80.0,spotify:track:5hF2LnbkpnXCkksMSeWcxZ,234133.0
64,Bossy,Kelis,2006,Too $hort,,https://charts-static.billboard.com/img/2006/04/kelis-2so-53x53.jpg,0Eu5SrReZzaJX0NLKI8tQS,63,0.906,0.624,-5.556,0.179,0.000185,6.21e-06,84.009,spotify:track:0Eu5SrReZzaJX0NLKI8tQS,274947.0
65,Chain Hang Low,Jibbs,2006,,,https://charts-static.billboard.com/img/2006/07/jibbs-jl9-53x53.jpg,0tYPj0NYa7vjlJaqlRSnJb,64,0.792,0.589,-6.869,0.262,0.0259,0.000128,157.147,spotify:track:0tYPj0NYa7vjlJaqlRSnJb,207587.0
66,Smack That,Akon,2006,Eminem,,https://www.billboard.com/assets/1585328969/images/charts/bb-placeholder-new.jpg?4118ff5c23d0f1304dc5,2kQuhkFX7uSVepCD3h29g5,65,0.939,0.742,-5.171,0.0467,0.321,0.0,118.978,spotify:track:2kQuhkFX7uSVepCD3h29g5,212360.0
67,One Wish,Ray J,2006,,,https://charts-static.billboard.com/img/2005/08/ray-j-rv3-53x53.jpg,5qrzhg9Fmu8Amg2uMhHfe5,66,0.525,0.652,-7.042,0.28,0.278,0.0,127.673,spotify:track:5qrzhg9Fmu8Amg2uMhHfe5,337640.0
68,"Sugar, We're Goin' Down",Fall Out Boy,2006,,,https://charts-static.billboard.com/img/2005/06/fall-out-boy-zhw-53x53.jpg,2TfSHkHiFO4gRztVIkggkE,67,0.494,0.841,-4.784,0.0838,0.00579,0.0,162.013,spotify:track:2TfSHkHiFO4gRztVIkggkE,229093.0
69,Gimme That,Chris Brown,2006,Lil Wayne,,https://www.billboard.com/assets/1585328969/images/charts/bb-placeholder-new.jpg?4118ff5c23d0f1304dc5,53ETzLQQKFCzykRbqWb1ph,68,0.678,0.572,-7.033,0.0466,0.00374,6.59e-05,87.165,spotify:track:53ETzLQQKFCzykRbqWb1ph,186827.0
70,I Know You See It,Yung Joc,2006,Brandy 'Ms. B.' Hambrick,,https://charts-static.billboard.com/img/2006/06/yung-joc-f7d-53x53.jpg,6giYNaycmjkbf7UmZ6RGtL,69,0.744,0.368,-6.349,0.0524,0.0702,0.0,84.018,spotify:track:6giYNaycmjkbf7UmZ6RGtL,241307.0
71,Who Says You Can't Go Home,Bon Jovi,2006,,,https://charts-static.billboard.com/img/2006/01/bon-jovi-g8x-53x53.jpg,5439qJTu5mVH9aeriwp03u,70,0.537,0.885,-3.641,0.0343,0.0437,0.0,131.698,spotify:track:5439qJTu5mVH9aeriwp03u,230280.0
72,Too Little Too Late,JoJo,2006,,,https://charts-static.billboard.com/img/2006/07/jojo-iey-53x53.jpg,3hc7PLcmuZbJGPjhIore1i,71,0.394,0.821,-4.304,0.0404,0.00302,0.019,82.764,spotify:track:3hc7PLcmuZbJGPjhIore1i,223533.0
73,Touch It,Busta Rhymes,2006,,,https://charts-static.billboard.com/img/2005/10/busta-rhymes-sbv-53x53.jpg,3HVJbdz0V402U5YggQK4Ao,72,0.658,0.551,-6.62,0.37,0.0043,0.000108,138.335,spotify:track:3HVJbdz0V402U5YggQK4Ao,214960.0
74,Rompe,Daddy Yankee,2006,,,https://charts-static.billboard.com/img/2005/11/daddy-yankee-1tx-53x53.jpg,2XgONx9aDkLkWVz72VzGiM,73,0.693,0.801,-6.02,0.0533,0.034,2.03e-06,176.018,spotify:track:2XgONx9aDkLkWVz72VzGiM,188253.0
75,Deja Vu,Beyonce,2006,Jay Z,,https://www.billboard.com/assets/1585328969/images/charts/bb-placeholder-new.jpg?4118ff5c23d0f1304dc5,,74,,,,,,,,,
76,Life Is A Highway,Rascal Flatts,2006,,,https://charts-static.billboard.com/img/2006/06/rascal-flatts-o8u-53x53.jpg,1Mxl69ygEVGdc155dYiHmr,75,0.583,0.955,-3.849,0.0642,0.00215,0.0,103.06,spotify:track:1Mxl69ygEVGdc155dYiHmr,276267.0
77,Call Me When You're Sober,Evanescence,2006,,,https://charts-static.billboard.com/img/2006/08/evanescence-d6v-53x53.jpg,663Karu2rvKLdnY0eo1n3M,76,0.45,0.883,-4.094,0.0524,0.00193,0.0,93.41,spotify:track:663Karu2rvKLdnY0eo1n3M,214707.0
78,"Jesus, Take The Wheel",Carrie Underwood,2006,,,https://charts-static.billboard.com/img/2005/11/carrie-underwood-ko6-53x53.jpg,20BfiH5746UuuCX0bSJTo3,77,0.256,0.507,-3.507,0.0308,0.669,0.0,152.306,spotify:track:20BfiH5746UuuCX0bSJTo3,221800.0
79,Show Stopper,Danity Kane,2006,,,https://charts-static.billboard.com/img/2006/08/danity-kane-gn6-53x53.jpg,5FRIqUXfTazrtRmYEGO4G0,78,0.755,0.408,-10.33,0.187,0.0133,0.0,76.034,spotify:track:5FRIqUXfTazrtRmYEGO4G0,229240.0
